Institute,Branch Name,Quota,Category,Seat Pool,Rank,Percentile,Round No,University
VIIT,Mechanical,HU,NT3,Gender-Neutral,29329,88.0695638,1,SPPU
VIIT,Mechanical,HU,VJ,Gender-Neutral,47144,79.8081214,1,SPPU
VIIT,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,OPEN,Gender-Neutral,5311,97.9578813,1,SPPU
VIIT,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,OBC,Gender-Neutral,5413,97.9119196,1,SPPU
VIIT,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,SC,Gender-Neutral,15521,93.8260094,1,SPPU
VIIT,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,ST,Gender-Neutral,64748,71.3590844,1,SPPU
VIIT,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,NT1,Gender-Neutral,6841,97.3642653,1,SPPU
VIIT,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,NT2,Gender-Neutral,5773,97.7814483,1,SPPU
VIIT,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,NT3,Gender-Neutral,6546,97.4862048,1,SPPU
VIIT,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,VJ,Gender-Neutral,20443,91.7414317,1,SPPU
VIIT,Computer Science and Engineering(Data Science),HU,OPEN,Gender-Neutral,6633,97.4666143,1,SPPU
VIIT,Computer Science and Engineering(Data Science),HU,OBC,Gender-Neutral,6889,97.3640058,1,SPPU
VIIT,Computer Science and Engineering(Data Science),HU,SC,Gender-Neutral,19604,92.1445405,1,SPPU
VIIT,Computer Science and Engineering(Data Science),HU,ST,Gender-Neutral,59851,73.642653,1,SPPU
VIIT,Computer Science and Engineering(Data Science),HU,NT1,Gender-Neutral,19004,92.3494201,1,SPPU
VIIT,Computer Science and Engineering(Data Science),HU,NT2,Gender-Neutral,17709,92.9051391,1,SPPU
VIIT,Computer Science and Engineering(Data Science),HU,NT3,Gender-Neutral,16262,93.5265773,1,SPPU
VIIT,Computer Science and Engineering(Data Science),HU,VJ,Gender-Neutral,16651,93.3965459,1,SPPU
VIIT,Computer Science and Engineering (Artificial Intelligence),HU,OPEN,Gender-Neutral,6047,97.6688314,1,SPPU
VIIT,Computer Science and Engineering (Artificial Intelligence),HU,OBC,Gender-Neutral,6548,97.4862048,1,SPPU
VIIT,Computer Science and Engineering (Artificial Intelligence),HU,SC,Gender-Neutral,16942,93.2167123,1,SPPU
VIIT,Computer Science and Engineering (Artificial Intelligence),HU,ST,Gender-Neutral,62549,72.394012,1,SPPU
VIIT,Computer Science and Engineering (Artificial Intelligence),HU,NT1,Gender-Neutral,8803,96.5922225,1,SPPU
VIIT,Computer Science and Engineering (Artificial Intelligence),HU,NT2,Gender-Neutral,7495,97.1224198,1,SPPU
VIIT,Computer Science and Engineering (Artificial Intelligence),HU,NT3,Gender-Neutral,7166,97.253546,1,SPPU
VIIT,Computer Science and Engineering (Artificial Intelligence),HU,VJ,Gender-Neutral,11781,95.3905345,1,SPPU
VIIT,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology),HU,OPEN,Gender-Neutral,7237,97.2171379,1,SPPU
VIIT,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology),HU,OBC,Gender-Neutral,7976,96.899283,1,SPPU
VIIT,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology),HU,SC,Gender-Neutral,19639,92.1445405,1,SPPU
VIIT,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology),HU,ST,Gender-Neutral,70425,68.3823818,1,SPPU
VIIT,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology),HU,NT1,Gender-Neutral,24704,89.96633,1,SPPU
VIIT,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology),HU,NT2,Gender-Neutral,10504,95.8847737,1,SPPU
VIIT,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology),HU,NT3,Gender-Neutral,22560,90.8627157,1,SPPU
VIIT,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology),HU,VJ,Gender-Neutral,17094,93.1853888,1,SPPU
VIIT,Computer Engineering (Software Engineering),HU,OPEN,Gender-Neutral,5656,97.818535,1,SPPU
VIIT,Computer Engineering (Software Engineering),HU,OBC,Gender-Neutral,6060,97.6631658,1,SPPU
VIIT,Computer Engineering (Software Engineering),HU,SC,Gender-Neutral,16578,93.4050233,1,SPPU
VIIT,Computer Engineering (Software Engineering),HU,ST,Gender-Neutral,58806,74.1935484,1,SPPU
VIIT,Computer Engineering (Software Engineering),HU,NT1,Gender-Neutral,7506,97.118102,1,SPPU
VIIT,Computer Engineering (Software Engineering),HU,NT2,Gender-Neutral,6811,97.3774785,1,SPPU
VIIT,Computer Engineering (Software Engineering),HU,NT3,Gender-Neutral,8212,96.8380088,1,SPPU
VIIT,Computer Engineering (Software Engineering),HU,VJ,Gender-Neutral,21438,91.2940735,1,SPPU
VIIT,AIDS,HU,OPEN,Gender-Neutral,7080,97.2702662,1,SPPU
VIIT,AIDS,HU,OBC,Gender-Neutral,7789,97.0060773,1,SPPU
VIIT,AIDS,HU,SC,Gender-Neutral,19186,92.2858954,1,SPPU
VIIT,AIDS,HU,ST,Gender-Neutral,61078,73.2522683,1,SPPU
VIIT,AIDS,HU,NT1,Gender-Neutral,7624,97.0482604,1,SPPU
VIIT,AIDS,HU,NT2,Gender-Neutral,8571,96.6666667,1,SPPU
VIIT,AIDS,HU,NT3,Gender-Neutral,8181,96.8454614,1,SPPU
VIIT,AIDS,HU,VJ,Gender-Neutral,15172,93.9947487,1,SPPU
PCCOE,Civil,HU,OPEN,Gender-Neutral,18622,92.4956109,1,SPPU
PCCOE,Civil,HU,OBC,Gender-Neutral,24575,90.0488423,1,SPPU
PCCOE,Civil,HU,SC,Gender-Neutral,34368,85.9219677,1,SPPU
PCCOE,Civil,HU,ST,Gender-Neutral,67575,69.6572694,1,SPPU
PCCOE,Civil,HU,NT1,Gender-Neutral,28304,88.2852988,1,SPPU
PCCOE,Civil,HU,NT2,Gender-Neutral,25692,89.5231349,1,SPPU
PCCOE,Civil,HU,NT3,Gender-Neutral,33001,86.3550668,1,SPPU
PCCOE,Civil,HU,VJ,Gender-Neutral,43537,81.8534982,1,SPPU
PCCOE,CS,HU,OPEN,Gender-Neutral,2805,98.89263,1,SPPU
PCCOE,CS,HU,OBC,Gender-Neutral,3144,98.7673228,1,SPPU
PCCOE,CS,HU,SC,Gender-Neutral,8441,96.7141785,1,SPPU
PCCOE,CS,HU,ST,Gender-Neutral,35389,85.3410413,1,SPPU
PCCOE,CS,HU,NT1,Gender-Neutral,5468,97.8929149,1,SPPU
PCCOE,CS,HU,NT2,Gender-Neutral,3278,98.7149343,1,SPPU
PCCOE,CS,HU,NT3,Gender-Neutral,3872,98.497446,1,SPPU
PCCOE,CS,HU,VJ,Gender-Neutral,6125,97.6333538,1,SPPU
PCCOE,IT,HU,OPEN,Gender-Neutral,3558,98.5970819,1,SPPU
PCCOE,IT,HU,OBC,Gender-Neutral,3947,98.4759188,1,SPPU
PCCOE,IT,HU,SC,Gender-Neutral,10217,96.0251375,1,SPPU
PCCOE,IT,HU,ST,Gender-Neutral,36221,85.1488129,1,SPPU
PCCOE,IT,HU,NT1,Gender-Neutral,6046,97.6688314,1,SPPU
PCCOE,IT,HU,NT2,Gender-Neutral,3957,98.4661429,1,SPPU
PCCOE,IT,HU,NT3,Gender-Neutral,4278,98.3377535,1,SPPU
PCCOE,IT,HU,VJ,Gender-Neutral,8963,96.5057987,1,SPPU
PCCOE,ENTC,HU,OPEN,Gender-Neutral,7154,97.253546,1,SPPU
PCCOE,ENTC,HU,OBC,Gender-Neutral,8374,96.7504598,1,SPPU
PCCOE,ENTC,HU,SC,Gender-Neutral,19876,92.0809832,1,SPPU
PCCOE,ENTC,HU,ST,Gender-Neutral,100561,48.0589023,1,SPPU
PCCOE,ENTC,HU,NT1,Gender-Neutral,10018,96.0680883,1,SPPU
PCCOE,ENTC,HU,NT2,Gender-Neutral,8074,96.8735271,1,SPPU
PCCOE,ENTC,HU,NT3,Gender-Neutral,10567,95.8828395,1,SPPU
PCCOE,ENTC,HU,VJ,Gender-Neutral,20344,91.7514817,1,SPPU
PCCOE,Mechanical,HU,OPEN,Gender-Neutral,16056,93.6017282,1,SPPU
PCCOE,Mechanical,HU,OBC,Gender-Neutral,18428,92.5725251,1,SPPU
PCCOE,Mechanical,HU,SC,Gender-Neutral,38181,84.2081516,1,SPPU
PCCOE,Mechanical,HU,ST,Gender-Neutral,128219,21.9114832,1,SPPU
PCCOE,Mechanical,HU,NT1,Gender-Neutral,36333,85.1488129,1,SPPU
PCCOE,Mechanical,HU,NT2,Gender-Neutral,24282,90.1268014,1,SPPU
PCCOE,Mechanical,HU,NT3,Gender-Neutral,17817,92.8593873,1,SPPU
PCCOE,Mechanical,HU,VJ,Gender-Neutral,40678,83.1704016,1,SPPU
PCCOE,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,OPEN,Gender-Neutral,3951,98.4759188,1,SPPU
PCCOE,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,OBC,Gender-Neutral,4375,98.2931727,1,SPPU
PCCOE,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,SC,Gender-Neutral,12433,95.1253222,1,SPPU
PCCOE,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,ST,Gender-Neutral,44790,81.0352521,1,SPPU
PCCOE,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,NT1,Gender-Neutral,6269,97.572663,1,SPPU
PCCOE,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,NT2,Gender-Neutral,5366,97.9332333,1,SPPU
PCCOE,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,NT3,Gender-Neutral,6796,97.3792778,1,SPPU
PCCOE,Computer Science and Engineering(Artificial Intelligence and Machine Learning),HU,VJ,Gender-Neutral,10077,96.0633178,1,SPPU
PCCOER,Civil,HU,OPEN,Gender-Neutral,77556,64.0952985,1,SPPU
PCCOER,Civil,HU,OBC,Gender-Neutral,110187,39.9699925,1,SPPU
PCCOER,Civil,HU,SC,Gender-Neutral,129193,20.9244385,1,SPPU
PCCOER,Civil,HU,ST,Gender-Neutral,90324,55.7163295,1,SPPU
PCCOER,Civil,HU,NT1,Gender-Neutral,119338,31.7228694,1,SPPU
PCCOER,Civil,HU,NT2,Gender-Neutral,82927,60.8798115,1,SPPU
PCCOER,Civil,HU,NT3,Gender-Neutral,107768,42.5955447,1,SPPU
PCCOER,Civil,HU,VJ,Gender-Neutral,97527,50.6107355,1,SPPU
PCCOER,CS,HU,OPEN,Gender-Neutral,8238,96.8317715,1,SPPU
PCCOER,CS,HU,OBC,Gender-Neutral,10758,95.8405342,1,SPPU
PCCOER,CS,HU,SC,Gender-Neutral,25441,89.690179,1,SPPU
PCCOER,CS,HU,ST,Gender-Neutral,83356,60.750409,1,SPPU
PCCOER,CS,HU,NT1,Gender-Neutral,17468,93.0452675,1,SPPU
PCCOER,CS,HU,NT2,Gender-Neutral,11873,95.3636399,1,SPPU
PCCOER,CS,HU,NT3,Gender-Neutral,9392,96.3409192,1,SPPU
PCCOER,CS,HU,VJ,Gender-Neutral,24361,90.0942655,1,SPPU
PCCOER,IT,HU,OPEN,Gender-Neutral,9924,96.125889,1,SPPU
PCCOER,IT,HU,OBC,Gender-Neutral,11149,95.6557469,1,SPPU
PCCOER,IT,HU,SC,Gender-Neutral,28754,88.144407,1,SPPU
PCCOER,IT,HU,ST,Gender-Neutral,88231,56.982253,1,SPPU
PCCOER,IT,HU,NT1,Gender-Neutral,13901,94.5454545,1,SPPU
PCCOER,IT,HU,NT2,Gender-Neutral,11054,95.6795422,1,SPPU
PCCOER,IT,HU,NT3,Gender-Neutral,13022,94.8759338,1,SPPU
PCCOER,IT,HU,VJ,Gender-Neutral,30626,87.4150328,1,SPPU
PCCOER,ENTC,HU,OPEN,Gender-Neutral,15445,93.8565297,1,SPPU
PCCOER,ENTC,HU,OBC,Gender-Neutral,17380,93.09626,1,SPPU
PCCOER,ENTC,HU,SC,Gender-Neutral,49938,78.5775598,1,SPPU
PCCOER,ENTC,HU,ST,Gender-Neutral,121265,29.4111028,1,SPPU
PCCOER,ENTC,HU,NT1,Gender-Neutral,32343,86.6965956,1,SPPU
PCCOER,ENTC,HU,NT2,Gender-Neutral,19733,92.1155289,1,SPPU
PCCOER,ENTC,HU,NT3,Gender-Neutral,30779,87.3774785,1,SPPU
PCCOER,ENTC,HU,VJ,Gender-Neutral,27816,88.6695314,1,SPPU
PCCOER,Mechanical,HU,OPEN,Gender-Neutral,33016,86.3550668,1,SPPU
PCCOER,Mechanical,HU,OBC,Gender-Neutral,38261,84.2081516,1,SPPU
PCCOER,Mechanical,HU,SC,Gender-Neutral,78505,63.6508999,1,SPPU
PCCOER,Mechanical,HU,ST,Gender-Neutral,128710,21.5370732,1,SPPU
PCCOER,Mechanical,HU,NT1,Gender-Neutral,50628,78.3430016,1,SPPU
PCCOER,Mechanical,HU,NT2,Gender-Neutral,61974,73.0265619,1,SPPU
PCCOER,Mechanical,HU,NT3,Gender-Neutral,76038,65.0367935,1,SPPU
PCCOER,Mechanical,HU,VJ,Gender-Neutral,44084,81.2345291,1,SPPU
Pvg Coet,CS,HU,OPEN,Gender-Neutral,5719,97.7845902,1,SPPU
Pvg Coet,CS,HU,OBC,Gender-Neutral,6340,97.5524607,1,SPPU
Pvg Coet,CS,HU,SC,Gender-Neutral,16002,93.6308986,1,SPPU
Pvg Coet,CS,HU,ST,Gender-Neutral,54865,76.6166542,1,SPPU
Pvg Coet,CS,HU,NT1,Gender-Neutral,29574,87.9332333,1,SPPU
Pvg Coet,CS,HU,NT2,Gender-Neutral,7660,97.0463182,1,SPPU
Pvg Coet,CS,HU,NT3,Gender-Neutral,8489,96.6912318,1,SPPU
Pvg Coet,CS,HU,VJ,Gender-Neutral,39114,83.5642755,1,SPPU
Pvg Coet,IT,HU,OPEN,Gender-Neutral,6927,97.3366305,1,SPPU
Pvg Coet,IT,HU,OBC,Gender-Neutral,7810,96.9842461,1,SPPU
Pvg Coet,IT,HU,SC,Gender-Neutral,19581,92.1445405,1,SPPU
Pvg Coet,IT,HU,ST,Gender-Neutral,69826,68.8122862,1,SPPU
Pvg Coet,IT,HU,NT1,Gender-Neutral,15599,93.8108199,1,SPPU
Pvg Coet,IT,HU,NT2,Gender-Neutral,8157,96.8581856,1,SPPU
Pvg Coet,IT,HU,NT3,Gender-Neutral,9216,96.3989373,1,SPPU
Pvg Coet,IT,HU,VJ,Gender-Neutral,29837,87.6993762,1,SPPU
Pvg Coet,Electrical,HU,OPEN,Gender-Neutral,48940,79.3939394,1,SPPU
Pvg Coet,Electrical,HU,OBC,Gender-Neutral,68892,69.0354573,1,SPPU
Pvg Coet,Electrical,HU,SC,Gender-Neutral,119784,31.6482893,1,SPPU
Pvg Coet,Electrical,HU,ST,Gender-Neutral,125380,25.3087578,1,SPPU
Pvg Coet,Electrical,HU,NT1,Gender-Neutral,38576,84.0516274,1,SPPU
Pvg Coet,Electrical,HU,NT2,Gender-Neutral,55273,76.2843676,1,SPPU
Pvg Coet,Electrical,HU,NT3,Gender-Neutral,71982,67.1534217,1,SPPU
Pvg Coet,Electrical,HU,VJ,Gender-Neutral,93766,53.1660451,1,SPPU
Pvg Coet,ENTC,HU,OPEN,Gender-Neutral,17713,92.9051391,1,SPPU
Pvg Coet,ENTC,HU,OBC,Gender-Neutral,22434,90.9043132,1,SPPU
Pvg Coet,ENTC,HU,SC,Gender-Neutral,60788,73.2701208,1,SPPU
Pvg Coet,ENTC,HU,ST,Gender-Neutral,62534,72.394012,1,SPPU
Pvg Coet,ENTC,HU,NT1,Gender-Neutral,25815,89.4673668,1,SPPU
Pvg Coet,ENTC,HU,NT2,Gender-Neutral,22747,90.7704894,1,SPPU
Pvg Coet,ENTC,HU,NT3,Gender-Neutral,23231,90.5963303,1,SPPU
Pvg Coet,ENTC,HU,VJ,Gender-Neutral,59328,74.1356658,1,SPPU
Pvg Coet,Mechanical,HU,OPEN,Gender-Neutral,33876,86.039254,1,SPPU
Pvg Coet,Mechanical,HU,OBC,Gender-Neutral,61677,73.1851907,1,SPPU
Pvg Coet,Mechanical,HU,SC,Gender-Neutral,132570,16.3662375,1,SPPU
Pvg Coet,Mechanical,HU,ST,Gender-Neutral,92127,54.6296296,1,SPPU
Pvg Coet,Mechanical,HU,NT1,Gender-Neutral,113082,37.7324111,1,SPPU
Pvg Coet,Mechanical,HU,NT2,Gender-Neutral,35975,85.1782223,1,SPPU
Pvg Coet,Mechanical,HU,NT3,Gender-Neutral,60309,73.4109953,1,SPPU
Pvg Coet,Mechanical,HU,VJ,Gender-Neutral,54026,76.7693871,1,SPPU
Pvg Coet,AIDS,HU,OPEN,Gender-Neutral,9426,96.3249371,1,SPPU
Pvg Coet,AIDS,HU,OBC,Gender-Neutral,10886,95.7618529,1,SPPU
Pvg Coet,AIDS,HU,SC,Gender-Neutral,24930,89.9583318,1,SPPU
Pvg Coet,AIDS,HU,ST,Gender-Neutral,86555,58.1382561,1,SPPU
Pvg Coet,AIDS,HU,NT1,Gender-Neutral,14905,94.0755378,1,SPPU
Pvg Coet,AIDS,HU,NT2,Gender-Neutral,13171,94.8375696,1,SPPU
Pvg Coet,AIDS,HU,NT3,Gender-Neutral,17591,93.0014674,1,SPPU
Pvg Coet,AIDS,HU,VJ,Gender-Neutral,37397,84.4494892,1,SPPU
AISSMS COE,Civil,HU,OPEN,Gender-Neutral,76914,64.2666767,1,SPPU
AISSMS COE,Civil,HU,OBC,Gender-Neutral,122884,28.1052376,1,SPPU
AISSMS COE,Civil,HU,SC,Gender-Neutral,116106,35.1726957,1,SPPU
AISSMS COE,Civil,HU,ST,Gender-Neutral,115007,36.029881,1,SPPU
AISSMS COE,Civil,HU,NT1,Gender-Neutral,116131,35.1726957,1,SPPU
AISSMS COE,Civil,HU,NT2,Gender-Neutral,90734,55.4490884,1,SPPU
AISSMS COE,Civil,HU,NT3,Gender-Neutral,93077,53.8156961,1,SPPU
AISSMS COE,Civil,HU,VJ,Gender-Neutral,115258,36.029881,1,SPPU
AISSMS COE,Robotics and Automation,HU,OPEN,Gender-Neutral,26994,88.9904805,1,SPPU
AISSMS COE,Robotics and Automation,HU,OBC,Gender-Neutral,30014,87.6984872,1,SPPU
AISSMS COE,Robotics and Automation,HU,SC,Gender-Neutral,64764,71.3590844,1,SPPU
AISSMS COE,Robotics and Automation,HU,ST,Gender-Neutral,66582,70.2813361,1,SPPU
AISSMS COE,Robotics and Automation,HU,NT1,Gender-Neutral,59316,74.1356658,1,SPPU
AISSMS COE,Robotics and Automation,HU,NT2,Gender-Neutral,42923,82.1650299,1,SPPU
AISSMS COE,Robotics and Automation,HU,NT3,Gender-Neutral,73144,66.6716379,1,SPPU
AISSMS COE,Robotics and Automation,HU,VJ,Gender-Neutral,46882,80.0793682,1,SPPU
AISSMS COE,CS,HU,OPEN,Gender-Neutral,8767,96.5951359,1,SPPU
AISSMS COE,CS,HU,OBC,Gender-Neutral,9889,96.1447502,1,SPPU
AISSMS COE,CS,HU,SC,Gender-Neutral,23571,90.4938272,1,SPPU
AISSMS COE,CS,HU,ST,Gender-Neutral,61844,73.0265619,1,SPPU
AISSMS COE,CS,HU,NT1,Gender-Neutral,16441,93.4566198,1,SPPU
AISSMS COE,CS,HU,NT2,Gender-Neutral,15044,94.0399594,1,SPPU
AISSMS COE,CS,HU,NT3,Gender-Neutral,12810,94.9618091,1,SPPU
AISSMS COE,CS,HU,VJ,Gender-Neutral,26115,89.3951296,1,SPPU
AISSMS COE,Electrical,HU,OPEN,Gender-Neutral,55061,76.2843676,1,SPPU
AISSMS COE,Electrical,HU,OBC,Gender-Neutral,68467,69.3042857,1,SPPU
AISSMS COE,Electrical,HU,SC,Gender-Neutral,102948,46.4499379,1,SPPU
AISSMS COE,Electrical,HU,ST,Gender-Neutral,126725,23.8907594,1,SPPU
AISSMS COE,Electrical,HU,NT1,Gender-Neutral,124410,26.0539861,1,SPPU
AISSMS COE,Electrical,HU,NT2,Gender-Neutral,56519,75.340282,1,SPPU
AISSMS COE,Electrical,HU,NT3,Gender-Neutral,60794,73.2701208,1,SPPU
AISSMS COE,Electrical,HU,VJ,Gender-Neutral,82315,61.2935921,1,SPPU
AISSMS COE,ENTC,HU,OPEN,Gender-Neutral,18650,92.4956109,1,SPPU
AISSMS COE,ENTC,HU,OBC,Gender-Neutral,21904,91.1342735,1,SPPU
AISSMS COE,ENTC,HU,SC,Gender-Neutral,46318,80.4126032,1,SPPU
AISSMS COE,ENTC,HU,ST,Gender-Neutral,39605,83.4053417,1,SPPU
AISSMS COE,ENTC,HU,NT1,Gender-Neutral,30084,87.6216398,1,SPPU
AISSMS COE,ENTC,HU,NT2,Gender-Neutral,21900,91.1342735,1,SPPU
AISSMS COE,ENTC,HU,NT3,Gender-Neutral,28461,88.2803409,1,SPPU
AISSMS COE,ENTC,HU,VJ,Gender-Neutral,55824,75.8958975,1,SPPU
AISSMS COE,Electronics Engineering ( VLSI Design and Technology),HU,OPEN,Gender-Neutral,39029,83.6387222,1,SPPU
AISSMS COE,Electronics Engineering ( VLSI Design and Technology),HU,OBC,Gender-Neutral,50176,78.4161664,1,SPPU
AISSMS COE,Electronics Engineering ( VLSI Design and Technology),HU,SC,Gender-Neutral,128592,21.5370732,1,SPPU
AISSMS COE,Electronics Engineering ( VLSI Design and Technology),HU,ST,Gender-Neutral,112661,38.8357386,1,SPPU
AISSMS COE,Electronics Engineering ( VLSI Design and Technology),HU,NT1,Gender-Neutral,120967,29.9996237,1,SPPU
AISSMS COE,Electronics Engineering ( VLSI Design and Technology),HU,NT2,Gender-Neutral,67425,69.6924231,1,SPPU
AISSMS COE,Electronics Engineering ( VLSI Design and Technology),HU,NT3,Gender-Neutral,127717,22.6551453,1,SPPU
AISSMS COE,Electronics Engineering ( VLSI Design and Technology),HU,VJ,Gender-Neutral,48533,79.520817,1,SPPU
AISSMS COE,Chemical,HU,OPEN,Gender-Neutral,76444,64.4805659,1,SPPU
AISSMS COE,Chemical,HU,OBC,Gender-Neutral,120528,30.5890703,1,SPPU
AISSMS COE,Chemical,HU,SC,Gender-Neutral,76677,64.4512569,1,SPPU
AISSMS COE,Chemical,HU,ST,Gender-Neutral,95928,52.2415622,1,SPPU
AISSMS COE,Chemical,HU,NT1,Gender-Neutral,116346,35.1345873,1,SPPU
AISSMS COE,Chemical,HU,NT2,Gender-Neutral,77124,64.2666767,1,SPPU
AISSMS COE,Chemical,HU,NT3,Gender-Neutral,112326,38.9045575,1,SPPU
AISSMS COE,Chemical,HU,VJ,Gender-Neutral,121241,29.4111028,1,SPPU
AISSMS COE,Mechanical,HU,OPEN,Gender-Neutral,43402,81.855593,1,SPPU
AISSMS COE,Mechanical,HU,OBC,Gender-Neutral,66040,70.6180504,1,SPPU
AISSMS COE,Mechanical,HU,SC,Gender-Neutral,127837,22.6551453,1,SPPU
AISSMS COE,Mechanical,HU,ST,Gender-Neutral,103905,45.9472716,1,SPPU
AISSMS COE,Mechanical,HU,NT1,Gender-Neutral,66078,70.6180504,1,SPPU
AISSMS COE,Mechanical,HU,NT2,Gender-Neutral,77875,63.973064,1,SPPU
AISSMS COE,Mechanical,HU,NT3,Gender-Neutral,77273,64.0952985,1,SPPU
AISSMS COE,Mechanical,HU,VJ,Gender-Neutral,99971,49.0455617,1,SPPU
AISSMS IOIT,CS,HU,OPEN,Gender-Neutral,9605,96.2758209,1,SPPU
AISSMS IOIT,CS,HU,OBC,Gender-Neutral,10445,95.9255039,1,SPPU
AISSMS IOIT,CS,HU,SC,Gender-Neutral,22275,90.9958615,1,SPPU
AISSMS IOIT,CS,HU,ST,Gender-Neutral,44004,81.2345291,1,SPPU
AISSMS IOIT,CS,HU,NT1,Gender-Neutral,14550,94.2498036,1,SPPU
AISSMS IOIT,CS,HU,NT2,Gender-Neutral,11016,95.6910814,1,SPPU
AISSMS IOIT,CS,HU,NT3,Gender-Neutral,17280,93.1024197,1,SPPU
AISSMS IOIT,CS,HU,VJ,Gender-Neutral,17779,92.8619655,1,SPPU
AISSMS IOIT,IT,HU,OPEN,Gender-Neutral,10825,95.7719768,1,SPPU
AISSMS IOIT,IT,HU,OBC,Gender-Neutral,11233,95.6228329,1,SPPU
AISSMS IOIT,IT,HU,SC,Gender-Neutral,23611,90.4575998,1,SPPU
AISSMS IOIT,IT,HU,ST,Gender-Neutral,65060,71.2687819,1,SPPU
AISSMS IOIT,IT,HU,NT1,Gender-Neutral,15821,93.708846,1,SPPU
AISSMS IOIT,IT,HU,NT2,Gender-Neutral,13660,94.616159,1,SPPU
AISSMS IOIT,IT,HU,NT3,Gender-Neutral,12170,95.2286363,1,SPPU
AISSMS IOIT,IT,HU,VJ,Gender-Neutral,25494,89.690179,1,SPPU
AISSMS IOIT,Electrical,HU,OPEN,Gender-Neutral,46469,80.2375547,1,SPPU
AISSMS IOIT,Electrical,HU,OBC,Gender-Neutral,60486,73.4109953,1,SPPU
AISSMS IOIT,Electrical,HU,SC,Gender-Neutral,72401,66.9527897,1,SPPU
AISSMS IOIT,Electrical,HU,ST,Gender-Neutral,85066,58.8704519,1,SPPU
AISSMS IOIT,Electrical,HU,NT1,Gender-Neutral,59952,73.4246062,1,SPPU
AISSMS IOIT,Electrical,HU,NT2,Gender-Neutral,53416,76.8406961,1,SPPU
AISSMS IOIT,Electrical,HU,NT3,Gender-Neutral,72597,66.9527897,1,SPPU
AISSMS IOIT,Electrical,HU,VJ,Gender-Neutral,96545,51.0567213,1,SPPU
AISSMS IOIT,ENTC,HU,OPEN,Gender-Neutral,21068,91.4590348,1,SPPU
AISSMS IOIT,ENTC,HU,OBC,Gender-Neutral,23319,90.5702023,1,SPPU
AISSMS IOIT,ENTC,HU,SC,Gender-Neutral,36379,84.9532361,1,SPPU
AISSMS IOIT,ENTC,HU,ST,Gender-Neutral,51840,78.0359147,1,SPPU
AISSMS IOIT,ENTC,HU,NT1,Gender-Neutral,26572,89.1792071,1,SPPU
AISSMS IOIT,ENTC,HU,NT2,Gender-Neutral,22240,91.0138421,1,SPPU
AISSMS IOIT,ENTC,HU,NT3,Gender-Neutral,25763,89.4673668,1,SPPU
AISSMS IOIT,ENTC,HU,VJ,Gender-Neutral,40596,83.2373857,1,SPPU
AISSMS IOIT,AIDS,HU,OPEN,Gender-Neutral,13010,94.8759338,1,SPPU
AISSMS IOIT,AIDS,HU,OBC,Gender-Neutral,13815,94.5800123,1,SPPU
AISSMS IOIT,AIDS,HU,SC,Gender-Neutral,25246,89.7218504,1,SPPU
AISSMS IOIT,AIDS,HU,ST,Gender-Neutral,102934,46.4499379,1,SPPU
AISSMS IOIT,AIDS,HU,NT1,Gender-Neutral,16387,93.495874,1,SPPU
AISSMS IOIT,AIDS,HU,NT2,Gender-Neutral,15154,93.9947487,1,SPPU
AISSMS IOIT,AIDS,HU,NT3,Gender-Neutral,15724,93.7527889,1,SPPU
AISSMS IOIT,AIDS,HU,VJ,Gender-Neutral,20569,91.7186508,1,SPPU
MIT Alandi,Civil,HU,OPEN,Gender-Neutral,51835,78.0359147,1,SPPU
MIT Alandi,Civil,HU,OBC,Gender-Neutral,68228,69.3042857,1,SPPU
MIT Alandi,Civil,HU,SC,Gender-Neutral,76288,64.4805659,1,SPPU
MIT Alandi,Civil,HU,ST,Gender-Neutral,109608,40.6521983,1,SPPU
MIT Alandi,Civil,HU,NT1,Gender-Neutral,63575,71.8303504,1,SPPU
MIT Alandi,Civil,HU,NT2,Gender-Neutral,91610,55.2709127,1,SPPU
